Año,ODS,Clave de metrópoli,Metrópoli,Índice,Ranking,Tipo de avance (flecha),Color del semáforo
2015,3,02.2.02,Ensenada,67.63883478,26,,Amarillo
2015,3,02.2.03,Mexicali,75.88737297,4,,Amarillo
2015,3,03.2.01,La Paz,72.68415292,6,,Amarillo
2015,3,03.2.02,Los Cabos,71.80479913,9,,Amarillo
2015,3,04.2.01,Campeche,54.59307656,69,,Amarillo
2015,3,05.1.01,La Laguna,66.24122741,37,,Amarillo
2015,3,05.1.02,Monclova-Frontera,67.57315985,27,,Amarillo
2015,3,05.1.03,Piedras Negras,68.5712063,18,,Amarillo
2015,3,05.1.04,Saltillo,77.64969075,1,,Amarillo
2015,3,05.3.05,Sabinas,60.46001926,56,,Amarillo
2015,3,06.1.01,ZM de Colima-Villa de Álvarez,69.73163329,13,,Amarillo
2015,3,06.3.02,Tecomán,48.89441075,80,,Amarillo
2015,3,07.1.01,Tapachula,49.36300442,78,,Amarillo
2015,3,07.1.02,Tuxtla Gutiérrez,51.49669144,76,,Amarillo
2015,3,08.1.01,ZM de Chihuahua,61.94287204,50,,Amarillo
2015,3,08.1.02,Delicias,63.48343383,45,,Amarillo
2015,3,08.2.03,Juárez,66.51713681,34,,Amarillo
2015,3,09.1.01,ZM de la Ciudad de México,66.25537364,36,,Amarillo
2015,3,10.2.01,Metrópoli de Durango,57.02334878,68,,Verde claro
2015,3,11.1.01,Celaya,60.14616044,58,,Naranja
2015,3,11.1.02,León,71.9597308,7,,Amarillo
2015,3,11.2.03,Metrópoli de Guanajuato,68.43258821,22,,Amarillo
2015,3,11.2.04,Irapuato,58.2285307,65,,Amarillo
2015,3,11.3.05,Moroleón-Uriangato,59.88326087,60,,Naranja
2015,3,11.3.06,Silao,57.89954983,66,,Amarillo
2015,3,12.1.01,Chilpancingo,58.61891275,64,,Amarillo
2015,3,12.2.02,Acapulco,66.84120993,32,,Amarillo
2015,3,13.1.01,Pachuca,61.3651815,51,,Amarillo
2015,3,13.1.02,Tulancingo,57.26773351,67,,Naranja
2015,3,14.1.01,Guadalajara,68.48158837,21,,Amarillo
2015,3,14.1.02,Puerto Vallarta,68.12002773,24,,Verde claro
2015,3,14.3.03,Ocotlán,60.42401934,57,,Verde claro
2015,3,15.1.01,Toluca,62.89245195,46,,Amarillo
2015,3,16.1.01,La Piedad-Pénjamo,54.4688377,70,,Amarillo
2015,3,16.1.02,Morelia,76.89202097,2,,Verde claro
2015,3,16.1.03,Zamora,68.40355874,23,,Amarillo
2015,3,16.2.04,Uruapan,71.92939731,8,,Verde claro
2015,3,16.3.05,Lázaro Cárdenas,66.67387058,33,,Amarillo
2015,3,17.1.01,Cuautla,58.98616311,62,,Naranja
2015,3,17.1.02,Cuernavaca,70.67445403,11,,Verde claro
2015,3,18.1.01,Tepic,60.98285659,53,,Amarillo
2015,3,19.1.01,Monterrey,73.96150677,5,,Amarillo
2015,3,20.1.01,ZM de Oaxaca,68.68509257,17,,Amarillo
2015,3,20.3.03,Salina Cruz,62.57753032,49,,Amarillo
2015,3,21.1.01,ZM de Puebla-Tlaxcala,66.3989096,35,,Amarillo
2015,3,21.1.02,San Martín Texmelucan,54.28908844,72,,Amarillo
2015,3,21.1.03,Tehuacán,66.00004526,38,,Amarillo
2015,3,21.3.04,Huauchinango,53.88242526,74,,Amarillo
2015,3,22.1.01,ZM de Querétaro,69.8502062,12,,Amarillo
2015,3,23.1.01,Cancún,65.15893553,39,,Naranja
2015,3,23.2.02,Chetumal,63.97820582,44,,Amarillo
2015,3,23.2.03,Playa del Carmen,69.34943641,15,,Verde claro
2015,3,24.1.01,ZM de San Luis Potosí,68.49211597,20,,Amarillo
2015,3,24.3.03,Rioverde,54.29775126,71,,Naranja
2015,3,25.2.01,Culiacán,62.74431097,47,,Amarillo
2015,3,25.2.02,Los Mochis,61.0410091,52,,Amarillo
2015,3,25.2.03,Mazatlán,67.73283267,25,,Amarillo
2015,3,26.1.01,Guaymas,60.70640445,54,,Amarillo
2015,3,26.2.02,Ciudad Obregón,60.65232297,55,,Amarillo
2015,3,26.2.03,Hermosillo,67.23556921,29,,Verde claro
2015,3,26.2.04,Nogales,67.09437749,31,,Verde claro
2015,3,27.1.01,Villahermosa,50.30990216,77,,Verde claro
2015,3,28.1.01,Reynosa,64.79723693,41,,Amarillo
2015,3,28.1.02,Tampico,67.13461604,30,,Amarillo
2015,3,28.2.03,Ciudad Victoria,69.54981356,14,,Verde claro
2015,3,28.2.04,Matamoros,64.05739114,43,,Amarillo
2015,3,28.2.05,Nuevo Laredo,70.73933347,10,,Naranja
2015,3,29.1.01,Tlaxcala-Apizaco,68.93462351,16,,Amarillo
2015,3,29.3.02,Huamantla,59.72050752,61,,Naranja
2015,3,30.1.01,Coatzacoalcos,67.46761349,28,,Verde claro
2015,3,30.1.02,Córdoba,54.28781493,73,,Naranja
2015,3,30.1.03,Minatitlán,49.25306072,79,,Naranja
2015,3,30.1.04,Orizaba,64.85756674,40,,Amarillo
2015,3,30.1.05,Poza Rica,52.62770747,75,,Naranja
2015,3,30.1.06,ZM de Veracruz,76.16079109,3,,Verde claro
2015,3,30.1.07,Xalapa,64.4971285,42,,Amarillo
2015,3,31.1.01,Mérida,58.86231816,63,,Amarillo
2015,3,31.3.02,Valladolid,38.78436353,81,,Naranja
2015,3,32.1.01,Zacatecas-Guadalupe,60.10485222,59,,Amarillo
2015,4,00.0.00,Promedio,51.54966971,,,Amarillo
2015,4,01.1.01,ZM de Aguascalientes,49.20906467,39,,Amarillo
2015,4,02.1.01,Tijuana,50.27312483,36,,Naranja
2015,4,02.2.02,Ensenada,57.16689768,19,,Amarillo
2015,4,02.2.03,Mexicali,61.42621015,8,,Amarillo
2015,4,03.2.01,La Paz,65.49955814,5,,Verde claro
2015,4,03.2.02,Los Cabos,45.69946456,52,,Naranja
2015,4,04.2.01,Campeche,63.91488118,7,,Amarillo
2015,4,05.1.01,La Laguna,53.89876227,30,,Amarillo
2015,4,05.1.02,Monclova-Frontera,46.93423433,47,,Amarillo
